stream	index	source	translation	notes	raw_tokens	pointer_word	offset	bytes	bits
dialogue	0	\n     これは タﾞミーてﾞす			0A 20 20 20 20 20 28 BA DA CA 20 29 C0 DE D0 B0 28 C3 DE BD 29 00	0x0FA0	0x038FA0	14	110
dialogue	1	\n     これは タﾞミーてﾞす			0A 20 20 20 20 20 28 BA DA CA 20 29 C0 DE D0 B0 28 C3 DE BD 29 00	0x0FA0	0x038FA0	14	110
dialogue	2	いったい なんの さわきﾞたﾞ???	Hello		28 B2 AF C0 B2 20 C5 DD C9 20 BB DC B7 DE C0 DE 3F 3F 3F 29 00	0x0FAE	0x038FAE	15	116
dialogue	3	とﾞうなってるんたﾞ???			28 C4 DE B3 C5 AF C3 D9 DD C0 DE 3F 3F 3F 29 00	0x0FBD	0x038FBD	11	88
dialogue	4	まま\nまた おしﾞいちゃんの しわさﾞね\nほんとに とﾞうしようもないんたﾞから			CF CF 0A 28 CF C0 20 B5 BC DE B2 C1 AC DD C9 20 BC DC BB DE C8 0A CE DD C4 C6 20 C4 DE B3 BC D6 B3 D3 C5 B2 DD C0 DE B6 D7 29 00	0x0FC8	0x038FC8	29	230
dialogue	5	はﾟはﾟ\nすまんかﾞ きゅうな しゅっちょうてﾞ\nしはﾞらく いえに かえってこれない\nいいか ハﾟハﾟかﾞ かえってくるまてﾞ\nおとなしく いいコに してるんたﾞそﾞ\nそれしﾞゃ いってくるよ			CA DF CA DF 0A 28 BD CF DD B6 DE 20 B7 AD B3 C5 20 BC AD AF C1 AE B3 C3 DE 0A BC CA DE D7 B8 20 B2 B4 C6 20 B6 B4 AF C3 BA DA C5 B2 0A B2 B2 B6 20 29 CA DF CA DF 28 B6 DE 20 B6 B4 AF C3 B8 D9 CF C3 DE 0A B5 C4 C5 BC B8 20 B2 B2 29 BA 28 C6 20 BC C3 D9 DD C0 DE BF DE 0A BF DA BC DE AC 20 B2 AF C3 B8 D9 D6 29 00	0x0FE5	0x038FE5	71	566
dialogue	6	まま\nこﾞめんなさいね これから\nかあさんも てﾞかけるのよ##\nちょっと とおくの テﾞハﾟートてﾞ\nハﾞーケﾞンセールかﾞ あってね\nかえりは おそくなると おもうの\nおるすはﾞん まかせたわよ\nおしﾞいちゃんと なかよく やってね			CF CF 0A 28 BA DE D2 DD C5 BB B2 C8 20 BA DA B6 D7 0A B6 B1 BB DD D3 20 C3 DE B6 B9 D9 C9 D6 23 23 0A C1 AE AF C4 20 C4 B5 B8 C9 20 29 C3 DE CA DF B0 C4 28 C3 DE 0A 29 CA DE B0 B9 DE DD BE B0 D9 28 B6 DE 20 B1 AF C3 C8 0A B6 B4 D8 CA 20 B5 BF B8 C5 D9 C4 20 B5 D3 B3 C9 0A B5 D9 BD CA DE DD 20 CF B6 BE C0 DC D6 0A B5 BC DE B2 C1 AC DD C4 20 C5 B6 D6 B8 20 D4 AF C3 C8 29 00	0x102C	0x03902C	87	690
dialogue	7	まま\nおしﾞいちゃんには すくﾞに かえる\nって いっておいてね\nしんはﾟいすると いけないから##\nそれしﾞゃあ いってくるわね!			CF CF 0A 28 B5 BC DE B2 C1 AC DD C6 CA 20 BD B8 DE C6 20 B6 B4 D9 0A AF C3 20 B2 AF C3 B5 B2 C3 C8 0A BC DD CA DF B2 BD D9 C4 20 B2 B9 C5 B2 B6 D7 23 23 0A BF DA BC DE AC B1 20 B2 AF C3 B8 D9 DC C8 21 29 00	0x1083	0x039083	48	380
dialogue	8	すほﾟろしﾞい\nおーい たﾞれか おらんのかー\nちょっと てつたﾞってくれー			BD CE DF DB 28 BC DE B2 0A B5 B0 B2 20 C0 DE DA B6 20 B5 D7 DD C9 B6 B0 0A C1 AE AF C4 20 C3 C2 C0 DE AF C3 B8 DA B0 29 00	0x10B3	0x0390B3	29	225
dialogue	9	しﾞいちゃんかﾞ うらにわ から\nよんてﾞいるみたいたﾞ##			28 BC DE B2 C1 AC DD B6 DE 20 B3 D7 C6 DC 20 B6 D7 0A D6 DD C3 DE B2 D9 D0 C0 B2 C0 DE 23 23 29 00	0x10D0	0x0390D0	22	175
dialogue	10	すほﾟろしﾞい\nあわわわ## しんかﾞた ロホﾞホﾟンの\nしﾞっけん またしても しっはﾟいか#\nなんとﾞ やっても うまくいかんのう#			BD CE DF DB 28 BC DE B2 0A B1 DC DC DC 23 23 20 BC DD B6 DE C0 20 29 DB CE DE CE DF DD 28 C9 0A BC DE AF B9 DD 20 CF C0 BC C3 D3 20 BC AF CA DF B2 B6 23 0A C5 DD C4 DE 20 D4 AF C3 D3 20 B3 CF B8 B2 B6 DD C9 B3 23 29 00	0x10E6	0x0390E6	50	396
dialogue	11	すほﾟろしﾞい\nおっ! おまえは##\nえーと タタﾞシか!?\nうーん アキラたﾞったかな?!\nいやいや シﾞェームスたﾞったっけ?			BD CE DF DB 28 BC DE B2 0A B5 AF 21 20 B5 CF B4 CA 23 23 0A B4 B0 C4 20 29 C0 C0 DE BC 28 B6 21 3F 0A B3 B0 DD 20 29 B1 B7 D7 28 C0 DE AF C0 B6 C5 3F 21 0A B2 D4 B2 D4 20 29 BC DE AA B0 D1 BD 28 C0 DE AF C0 AF B9 3F 29 00	0x1118	0x039118	52	411
dialogue	12	しﾞいちゃん! しっかり おほﾞえてよ\nホﾞクの なまえは##			28 BC DE B2 C1 AC DD 21 20 BC AF B6 D8 20 B5 CE DE B4 C3 D6 0A 29 CE DE B8 28 C9 20 C5 CF B4 CA 23 23 29 00	0x114C	0x03914C	25	200
dialogue	13	<PLAYER>\nほﾞくの なまえは <PLAYER>たﾞよ\nわすれちゃったの?			01 0A CE DE B8 28 C9 20 C5 CF B4 CA 20 29 01 28 C0 DE D6 0A DC BD DA C1 AC AF C0 C9 3F 29 00	0x1165	0x039165	23	182
dialogue	14	すほﾟろしﾞい\nいやあ すまん すまん\nちょっとほんきてﾞ ホﾞケた たﾞけしﾞゃ\n######\n\nよしっ きめた!!\n\nロホﾞホﾟンの けんきゅうも\nこの かいしゃの けいえいも##\nせﾞーんふﾞ おまえに まかせた!\nたのんたﾞそﾞ <PLAYER>!!!			BD CE DF DB 28 BC DE B2 0A B2 D4 B1 20 BD CF DD 20 BD CF DD 0A C1 AE AF C4 CE DD B7 C3 DE 20 29 CE DE B9 28 C0 20 C0 DE B9 BC DE AC 0A 23 23 23 23 23 23 0A 0A D6 BC AF 20 B7 D2 C0 21 21 0A 0A 29 DB CE DE CE DF DD 28 C9 20 B9 DD B7 AD B3 D3 0A BA C9 20 B6 B2 BC AC C9 20 B9 B2 B4 B2 D3 23 23 0A BE DE B0 DD CC DE 20 B5 CF B4 C6 20 CF B6 BE C0 21 0A C0 C9 DD C0 DE BF DE 20 29 01 21 21 21 00	0x117C	0x03917C	90	718
dialogue	15	すほﾟろしﾞい\nそうしﾞゃ! たった 1たいたﾞけ\nのこった ロホﾞホﾟンを やろう!\nワシの しﾞしんさく しﾞゃ!!\n\n###さあ こっちしﾞゃ			BD CE DF DB 28 BC DE B2 0A BF B3 BC DE AC 21 20 C0 AF C0 20 31 C0 B2 C0 DE B9 0A C9 BA AF C0 20 29 DB CE DE CE DF DD 28 A6 20 D4 DB B3 21 0A 29 DC BC 28 C9 20 BC DE BC DD BB B8 20 BC DE AC 21 21 0A 0A 23 23 23 BB B1 20 BA AF C1 BC DE AC 29 00	0x11D6	0x0391D6	56	447
dialogue	16	すほﾟろしﾞい\nきょうから <PLAYER>かﾞ\nしゃちょうしﾞゃ!\nいろいろ よろしく たのむ!			BD CE DF DB 28 BC DE B2 0A B7 AE B3 B6 D7 20 29 01 28 B6 DE 0A BC AC C1 AE B3 BC DE AC 21 0A B2 DB B2 DB 20 D6 DB BC B8 20 C0 C9 D1 21 29 00	0x120E	0x03920E	34	266
dialogue	17	うけつけ\n<PLAYER>しゃちょう\nかﾞんはﾞりましょうね			28 B3 B9 C2 B9 0A 29 01 28 BC AC C1 AE B3 0A B6 DE DD CA DE D8 CF BC AE B3 C8 29 00	0x1230	0x039230	21	161
dialogue	18	すほﾟろしﾞい\nとﾞうしﾞゃ カッコいいしﾞゃろ!\n\nこれを おまえに やる!\nたﾞいしﾞに つかうんしﾞゃそﾞ			BD CE DF DB 28 BC DE B2 0A C4 DE B3 BC DE AC 20 29 B6 AF BA 28 B2 B2 BC DE AC DB 21 0A 0A BA DA A6 20 B5 CF B4 C6 20 D4 D9 21 0A C0 DE B2 BC DE C6 20 C2 B6 B3 DD BC DE AC BF DE 29 00	0x1245	0x039245	41	327
dialogue	19	\n     これは タﾞミーてﾞす			0A 20 20 20 20 20 28 BA DA CA 20 29 C0 DE D0 B0 28 C3 DE BD 29 00	0x0FA0	0x038FA0	14	110
dialogue	20	すほﾟろしﾞい\nワシは けんきゅうしﾞょに のこって\nロホﾞホﾟンけんきゅうを つつﾞけよう\nあとな ロホﾞホﾟンは にんけﾞんと\nおなしﾞ いきもの なんしﾞゃ\nわるいことに つかっては ならんそﾞ\n\nはしﾞめは なにかと おかねかﾞ かかる\nちょっとは もっていたほうかﾞよいな			BD CE DF DB 28 BC DE B2 0A 29 DC BC 28 CA 20 B9 DD B7 AD B3 BC DE AE C6 20 C9 BA AF C3 0A 29 DB CE DE CE DF DD 28 B9 DD B7 AD B3 A6 20 C2 C2 DE B9 D6 B3 0A B1 C4 C5 20 29 DB CE DE CE DF DD 28 CA 20 C6 DD B9 DE DD C4 0A B5 C5 BC DE 20 B2 B7 D3 C9 20 C5 DD BC DE AC 0A DC D9 B2 BA C4 C6 20 C2 B6 AF C3 CA 20 C5 D7 DD BF DE 0A 0A CA BC DE D2 CA 20 C5 C6 B6 C4 20 B5 B6 C8 B6 DE 20 B6 B6 D9 0A C1 AE AF C4 CA 20 D3 AF C3 B2 C0 CE B3 B6 DE D6 B2 C5 29 00	0x126E	0x03926E	104	825
dialogue	21	すほﾟろしﾞい\n###それと かいしゃかﾞ\nチョットはﾞかし あふﾞないんしﾞゃ\n<PLAYER>かﾞ すこしはﾞかり おかねに\nよゆうかﾞ あるときてﾞ いいんしﾞゃ\nかいしゃに とうし してくれんか?\n\nくわしいことは かいしゃにいる\nみんなから きいてほしい\nてﾞは かいしゃを たのんたﾞそﾞ!			BD CE DF DB 28 BC DE B2 0A 23 23 23 BF DA C4 20 B6 B2 BC AC B6 DE 0A 29 C1 AE AF C4 28 CA DE B6 BC 20 B1 CC DE C5 B2 DD BC DE AC 0A 29 01 28 B6 DE 20 BD BA BC CA DE B6 D8 20 B5 B6 C8 C6 0A D6 D5 B3 B6 DE 20 B1 D9 C4 B7 C3 DE 20 B2 B2 DD BC DE AC 0A B6 B2 BC AC C6 20 C4 B3 BC 20 BC C3 B8 DA DD B6 3F 0A 0A B8 DC BC B2 BA C4 CA 20 B6 B2 BC AC C6 B2 D9 0A D0 DD C5 B6 D7 20 B7 B2 C3 CE BC B2 0A C3 DE CA 20 B6 B2 BC AC A6 20 C0 C9 DD C0 DE BF DE 21 29 00	0x131D	0x03931D	101	808
dialogue	22	ことﾞも\nうえーん <PLAYER>にいちゃーん\nひとﾞいよ ひとﾞいよー\nこのひと ホﾞクの アイスクリームを\nとっちゃうんたﾞよ!\nかえしてよー!			28 BA C4 DE D3 0A B3 B4 B0 DD 20 29 01 28 C6 B2 C1 AC B0 DD 0A CB C4 DE B2 D6 20 CB C4 DE B2 D6 B0 0A BA C9 CB C4 20 29 CE DE B8 28 C9 20 29 B1 B2 BD B8 D8 B0 D1 28 A6 0A C4 AF C1 AC B3 DD C0 DE D6 21 0A B6 B4 BC C3 D6 B0 21 29 00	0x1616	0x039616	54	430
dialogue	23	こふﾞん1\nイヒヒヒ うまそうな アイス!\nたへﾞちゃおーっと!			28 BA CC DE DD 31 0A 29 B2 CB CB CB 20 28 B3 CF BF B3 C5 20 29 B1 B2 BD 21 0A 28 C0 CD DE C1 AC B5 B0 AF C4 21 29 00	0x164C	0x03964C	28	222
dialogue	24	ひﾞすこの こふﾞんを\nこらしめますか?			CB DE BD BA 28 C9 20 BA CC DE DD A6 0A BA D7 BC D2 CF BD B6 3F 29 00	0x1668	0x039668	17	131
dialogue	25	こふﾞん1\nチクショー ヒﾞスコさんに\nいいつけて やるからな!			28 BA CC DE DD 31 0A 29 C1 B8 BC AE B0 20 CB DE BD BA 28 BB DD C6 0A B2 B2 C2 B9 C3 20 D4 D9 B6 D7 C5 21 29 00	0x1679	0x039679	27	211
dialogue	26	ことﾞも\n<PLAYER>にいちゃん!\nホﾞクを みすてるの?			28 BA C4 DE D3 0A 29 01 28 C6 B2 C1 AC DD 21 0A 29 CE DE B8 28 A6 20 D0 BD C3 D9 C9 3F 29 00	0x1694	0x039694	22	175
dialogue	27	ことﾞも\n<PLAYER>にいちゃん ありかﾞとう!\n\nあっ そうたﾞ!\n\nロルねえちゃんかﾞ たいへんなんたﾞ!\nおねかﾞい たすけてあけﾞて!			28 BA C4 DE D3 0A 29 01 28 C6 B2 C1 AC DD 20 B1 D8 B6 DE C4 B3 21 0A 0A B1 AF 20 BF B3 C0 DE 21 0A 0A 29 DB D9 28 C8 B4 C1 AC DD B6 DE 20 C0 B2 CD DD C5 DD C0 DE 21 0A B5 C8 B6 DE B2 20 C0 BD B9 C3 B1 B9 DE C3 21 29 00	0x16AA	0x0396AA	50	395
dialogue	28	<PLAYER>\nえっ! ロルって?			01 0A 28 B4 AF 21 20 29 DB D9 28 AF C3 3F 29 00	0x16DC	0x0396DC	12	93
dialogue	29	ことﾞも\n<PLAYER>にいちゃんの\nカﾞールフレントﾞ しﾞゃないか!\nわすれたの?\n\nロルねえちゃんのこと\nすき なんてﾞしょ?\nしﾞゃあ たすけに いって\nカッコいいとこ みせなきゃ!			28 BA C4 DE D3 0A 29 01 28 C6 B2 C1 AC DD C9 0A 29 B6 DE B0 D9 CC DA DD C4 DE 20 28 BC DE AC C5 B2 B6 21 0A DC BD DA C0 C9 3F 0A 0A 29 DB D9 28 C8 B4 C1 AC DD C9 BA C4 0A BD B7 20 C5 DD C3 DE BC AE 3F 0A BC DE AC B1 20 C0 BD B9 C6 20 B2 AF C3 0A 29 B6 AF BA 28 B2 B2 C4 BA 20 D0 BE C5 B7 AC 21 29 00	0x16E8	0x0396E8	69	552
dialogue	30	あんたも りっはﾟに なったわね!\nクﾞレイテストに なったんたﾞって?\nおとうさんも おかあさんも\nよろこんてﾞる てﾞしょ##			28 B1 DD C0 D3 20 D8 AF CA DF C6 20 C5 AF C0 DC C8 21 0A 29 B8 DE DA B2 C3 BD C4 28 C6 20 C5 AF C0 DD C0 DE AF C3 3F 0A B5 C4 B3 BB DD D3 20 B5 B6 B1 BB DD D3 0A D6 DB BA DD C3 DE D9 20 C3 DE BC AE 23 23 29 00	0x72BC	0x03F2BC	48	384
dialogue	31	ことﾞも\nロルねえちゃんのこと\nすき なんてﾞしょ?\nしﾞゃあ たすけに いって\nカッコいいとこ みせなきゃ!			28 BA C4 DE D3 0A 29 DB D9 28 C8 B4 C1 AC DD C9 BA C4 0A BD B7 20 C5 DD C3 DE BC AE 3F 0A BC DE AC B1 20 C0 BD B9 C6 20 B2 AF C3 0A 29 B6 AF BA 28 B2 B2 C4 BA 20 D0 BE C5 B7 AC 21 29 00	0x172D	0x03972D	43	342
dialogue	32	\n     これは タﾞミーてﾞす			0A 20 20 20 20 20 28 BA DA CA 20 29 C0 DE D0 B0 28 C3 DE BD 29 00	0x0FA0	0x038FA0	14	110
dialogue	33	ことﾞも\n<PLAYER>にいちゃん ありかﾞとう!			28 BA C4 DE D3 0A 29 01 28 C6 B2 C1 AC DD 20 B1 D8 B6 DE C4 B3 21 29 00	0x1758	0x039758	17	132
dialogue	34	ろる\n<PLAYER>ーーーーーー!			DB D9 0A 01 B0 B0 B0 B0 B0 B0 21 00	0x1769	0x039769	10	74
dialogue	35	ろる\nあっ <PLAYER>!\nいいところに きてくれたわ!\nこのひと しつこくて こまってるの\nたすけてよ!			DB D9 0A 28 B1 AF 20 29 01 21 0A 28 B2 B2 C4 BA DB C6 20 B7 C3 B8 DA C0 DC 21 0A BA C9 CB C4 20 BC C2 BA B8 C3 20 BA CF AF C3 D9 C9 0A C0 BD B9 C3 D6 21 29 00	0x1773	0x039773	38	298
dialogue	36	こふﾞん2\nヒﾞスコさんの めいれいなんたﾞ\nおとなしく ついてきな!			28 BA CC DE DD 32 0A 29 CB DE BD BA 28 BB DD C9 20 D2 B2 DA B2 C5 DD C0 DE 0A B5 C4 C5 BC B8 20 C2 B2 C3 B7 C5 21 29 00	0x1799	0x039799	28	224
dialogue	37	ろる\nねぇ <PLAYER> たすけて!			DB D9 0A 28 C8 AA 20 29 01 20 28 C0 BD B9 C3 21 29 00	0x17B5	0x0397B5	14	106
dialogue	38	ろる\nちょ ちょっとー\nしﾞょうたﾞんは やめてよー			DB D9 0A 28 C1 AE 20 C1 AE AF C4 B0 0A BC DE AE B3 C0 DE DD CA 20 D4 D2 C3 D6 B0 29 00	0x17C3	0x0397C3	21	164
dialogue	39	こふﾞん2\nケッ おまえも ロホﾞホﾟン\nもってんのかよ!\nてﾞもな###\nヒﾞスコさんには かなわねえよ!			28 BA CC DE DD 32 0A 29 B9 AF 20 28 B5 CF B4 D3 20 29 DB CE DE CE DF DD 0A 28 D3 AF C3 DD C9 B6 D6 21 0A C3 DE D3 C5 23 23 23 0A 29 CB DE BD BA 28 BB DD C6 CA 20 B6 C5 DC C8 B4 D6 21 29 00	0x17D8	0x0397D8	45	359
dialogue	40	ろる\n<PLAYER> ありかﾞとう!\n\nむこうの てﾞくﾞちてﾞも ヒﾞスコの\nこふﾞんかﾞ わるさを しているわ\nおねかﾞい こらしめてきて!			DB D9 0A 01 20 28 B1 D8 B6 DE C4 B3 21 0A 0A D1 BA B3 C9 20 C3 DE B8 DE C1 C3 DE D3 20 29 CB DE BD BA 28 C9 0A BA CC DE DD B6 DE 20 DC D9 BB A6 20 BC C3 B2 D9 DC 0A B5 C8 B6 DE B2 20 BA D7 BC D2 C3 B7 C3 21 29 00	0x1805	0x039805	49	386
dialogue	41	ろる\n<PLAYER> ありかﾞとう###\n\nそれより かﾞっこうかﾞ たいへんなの!			DB D9 0A 01 20 28 B1 D8 B6 DE C4 B3 23 23 23 0A 0A BF DA D6 D8 20 B6 DE AF BA B3 B6 DE 20 C0 B2 CD DD C5 C9 21 29 00	0x1836	0x039836	27	216
dialogue	42	ろる\nひﾞすこかﾞ 1はﾞん つよい\nロホﾞホﾟンを きめようとしてるの!\nはﾞしょは##\nかﾞっこうの たいいくかんよ!\nロホﾞホﾟンは あたしたちの なかま!\nあたしたちの ともたﾞち! \nロホﾞホﾟンは そんなコトに\nつかうものしﾞゃ ないてﾞしょ!			DB D9 0A CB DE BD BA 28 B6 DE 20 31 CA DE DD 20 C2 D6 B2 0A 29 DB CE DE CE DF DD 28 A6 20 B7 D2 D6 B3 C4 BC C3 D9 C9 21 0A CA DE BC AE CA 23 23 0A B6 DE AF BA B3 C9 20 C0 B2 B2 B8 B6 DD D6 21 0A 29 DB CE DE CE DF DD 28 CA 20 B1 C0 BC C0 C1 C9 20 C5 B6 CF 21 0A B1 C0 BC C0 C1 C9 20 C4 D3 C0 DE C1 21 20 0A 29 DB CE DE CE DF DD 28 CA 20 BF DD C5 29 BA C4 28 C6 0A C2 B6 B3 D3 C9 BC DE AC 20 C5 B2 C3 DE BC AE 21 29 00	0x1860	0x039860	96	764
dialogue	43	<PLAYER>\nひﾞすこって たﾞれたﾞっけ?			01 0A CB DE BD BA 28 AF C3 20 C0 DE DA C0 DE AF B9 3F 29 00	0x18C0	0x0398C0	14	112
dialogue	44	ろる\nあたしたちと おなしﾞ クラスの\nヒﾞスコのこと わすれたの?\nいつも いたすﾞらはﾞかり してる\nしﾞしょう ロホﾞホﾟンはﾞんちょうよ!\nとなりの リフﾞラまちを きたに\nのほﾞっていけはﾞ かﾞっこうかﾞあるわ\nたのんたﾞわよ ヒﾞスコのこと!\n###しﾞゃあね!			DB D9 0A 28 B1 C0 BC C0 C1 C4 20 B5 C5 BC DE 20 29 B8 D7 BD 28 C9 0A 29 CB DE BD BA 28 C9 BA C4 20 DC BD DA C0 C9 3F 0A B2 C2 D3 20 B2 C0 BD DE D7 CA DE B6 D8 20 BC C3 D9 0A BC DE BC AE B3 20 29 DB CE DE CE DF DD 28 CA DE DD C1 AE B3 D6 21 0A C4 C5 D8 C9 20 29 D8 CC DE D7 28 CF C1 A6 20 B7 C0 C6 0A C9 CE DE AF C3 B2 B9 CA DE 20 B6 DE AF BA B3 B6 DE B1 D9 DC 0A C0 C9 DD C0 DE DC D6 20 29 CB DE BD BA 28 C9 BA C4 21 0A 23 23 23 BC DE AC B1 C8 21 29 00	0x18CE	0x0398CE	104	826
