offset	bank	bank_offset	text
0x000074	0x00	0x0074	r+s_
0x0000CF	0x00	0x00CF	*fo^#V
0x0000E1	0x00	0x00E1	+r+s
0x000132	0x00	0x0132	3>ROBO MOON
0x00013F	0x00	0x013F	H3UJ
0x0001E7	0x00	0x01E7	o0o9o
0x000379	0x00	0x0379	d@>?
0x000530	0x00	0x0530	yMDkbW
0x000563	0x00	0x0563	"^8""O<"
0x00059C	0x00	0x059C	 PASSWORD INPUT
0x000625	0x00	0x0625	 GB KISS TOOLS
0x000636	0x00	0x0636	KISSMON CANNON  BINARY  GAMEDATAKISSTOOL  
0x000672	0x00	0x0672	START/A
0x000686	0x00	0x0686	--------
0x00075B	0x00	0x075B	START
0x0007E7	0x00	0x07E7	GB KISS  MINI GAME
0x000816	0x00	0x0816	GBKISS
0x000825	0x00	0x0825	START
0x000833	0x00	0x0833	SRAM
0x000859	0x00	0x0859	"""s#r"
0x00086C	0x00	0x086C	*^#V
0x000891	0x00	0x0891	kb*F#^#V#
0x000923	0x00	0x0923	 *fo|
0x00092D	0x00	0x092D	@g*F#^#V
0x0009AC	0x00	0x09AC	F#*fo
0x0009BC	0x00	0x09BC	"""s#r7"
0x000A18	0x00	0x0A18	^#V#
0x000A1D	0x00	0x0A1D	F#*N#
0x000AEE	0x00	0x0AEE	^#V#
0x000AF3	0x00	0x0AF3	F#*N#
0x000C2A	0x00	0x0C2A	                
0x000CAE	0x00	0x0CAE	GB KISS MENU 
0x000FEF	0x00	0x0FEF	"""s#r"
0x0010B7	0x00	0x10B7	g*fo
0x001217	0x00	0x1217	"""*_*W*O"
0x0013D3	0x00	0x13D3	*N#^#V
0x0013F2	0x00	0x13F2	MDkb
0x001447	0x00	0x1447	"x""{""z"""
0x00144E	0x00	0x144E	"y""x"""
0x001548	0x00	0x1548	^#V#MD
0x00157F	0x00	0x157F	C(XO
0x0015A0	0x00	0x15A0	"9Oy"""
0x001616	0x00	0x1616	"l(G"""
0x001699	0x00	0x1699	N#F#*fo< !
0x001A1D	0x00	0x1A1D	"""s#r"
0x001A65	0x00	0x1A65	"""""""w}iO|`G{"
0x001D28	0x00	0x1D28	#6d#6@
0x001EA9	0x00	0x1EA9	#6$#6T
0x001F0B	0x00	0x1F0B	#6y>
0x001F1C	0x00	0x1F1C	#6z>
0x001F2E	0x00	0x1F2E	#6C#6z
0x001F62	0x00	0x1F62	#6z!
0x001FF0	0x00	0x1FF0	#6z!
0x00207E	0x00	0x207E	#6z!P
0x00214C	0x00	0x214C	=8}o&
0x002152	0x00	0x2152	))]T))
0x00217A	0x00	0x217A	=8}o&
0x002180	0x00	0x2180	))]T))
0x0021F2	0x00	0x21F2	=8}o&
0x0021F8	0x00	0x21F8	))]T))
0x002220	0x00	0x2220	=8}o&
0x002226	0x00	0x2226	))]T))
0x0022BA	0x00	0x22BA	C8~=#
0x0022C4	0x00	0x22C4	C8N#F
0x0022E2	0x00	0x22E2	"""!'#"
0x0022ED	0x00	0x22ED	"""!)#"
0x0022F7	0x00	0x22F7	C8##
0x002333	0x00	0x2333	<#L}_y
0x0023FA	0x00	0x23FA	6)MD
0x002465	0x00	0x2465	6)MD
0x00248B	0x00	0x248B	)))]T)
0x0024BF	0x00	0x24BF	]T))))
0x0024EB	0x00	0x24EB	]T))MD)
0x00253F	0x00	0x253F	~#fo
0x0025ED	0x00	0x25ED	))))
0x0025FE	0x00	0x25FE	))))
0x0026A7	0x00	0x26A7	18###
0x00282D	0x00	0x282D	=8l&
0x002851	0x00	0x2851	)####
0x002872	0x00	0x2872	####MD
0x00288D	0x00	0x288D	i`s#r
0x002899	0x00	0x2899	i`##s#r
0x0028B7	0x00	0x28B7	%8~#
0x0028C2	0x00	0x28C2	%8~#
0x0028CD	0x00	0x28CD	%8~#
0x0028D8	0x00	0x28D8	%8~#
0x0028E3	0x00	0x28E3	%8MD
0x002903	0x00	0x2903	y7MD
0x002950	0x00	0x2950	o)~#
0x0029F4	0x00	0x29F4	61#6
0x002A67	0x00	0x2A67	q)!v
0x002B59	0x00	0x2B59	I+> 
0x002BBF	0x00	0x2BBF	G+N>
0x002C1C	0x00	0x2C1C	))))
0x002C3A	0x00	0x2C3A	9V+^
0x002C71	0x00	0x2C71	+W^{
0x002C9A	0x00	0x2C9A	G+N>
0x002CB6	0x00	0x2CB6	+w+w+w
0x002CC8	0x00	0x2CC8	2###
0x002CEF	0x00	0x2CEF	,###~
0x002D13	0x00	0x2D13	9F+~
0x002D3C	0x00	0x2D3C	~+Fw+~p+w
0x002DD1	0x00	0x2DD1	~s_#~rgk
0x002FB5	0x00	0x2FB5	~s_#~rgk
0x003095	0x00	0x3095	0DM!
0x00315B	0x00	0x315B	~s_#~rgk
0x0031BF	0x00	0x31BF	1w#w
